dport,ts,count
1,60,628
1,73,541
1,70,564
1,82,482
1,34,1108
1,7,5649
1,37,1068
1,30,1256
1,23,1638
1,44,898
1,72,523
1,20,1884
1,78,483
1,75,502
1,58,649
1,6,6280
1,38,1040
1,24,1570
1,51,738
1,61,648
1,59,670
1,55,719
1,15,2512
1,32,1235
1,45,837
1,29,1299
1,93,425
1,54,697
1,11,3595
1,71,530
1,25,1581
1,26,1521
1,92,409
1,41,964
1,27,1395
1,62,637
1,8,4943
1,28,1412
1,19,2081
1,42,941
1,98,403
1,65,579
1,33,1141
1,81,488
1,16,2471
1,46,819
1,50,790
1,40,942
1,100,395
1,57,661
1,13,3042
1,9,4186
1,68,554
1,97,407
1,80,471
1,88,449
1,96,392
1,56,706
1,91,434
1,95,396
1,21,1883
1,22,1797
1,12,3140
1,5,7536
1,14,2824
1,4,9886
1,10,3768
1,66,570
1,2,19773
1,31,1275
1,43,876
1,36,1046
1,89,423
1,77,489
1,39,966
1,18,2093
1,53,710
1,67,590
1,99,380
1,63,598
1,74,534
1,3,12560
1,83,453
1,69,573
1,49,807
1,48,785
1,17,2216
1,90,418
1,35,1129
1,84,470
1,52,760
1,76,520
1,64,617
1,94,420
1,87,454
1,1,39547
1,85,443
1,47,841
1,86,438
1,79,500
2,16,1572
2,13,1935
2,90,277
2,31,811
2,38,662
2,50,503
2,72,346
2,44,571
2,96,260
2,84,299
2,27,925
2,24,1040
2,51,489
2,76,331
2,99,252
2,71,351
2,8,3145
2,41,613
2,29,861
2,34,734
2,95,262
2,81,310
2,12,2081
2,66,378
2,37,680
2,67,375
2,73,344
2,25,1006
2,79,318
2,23,1086
2,87,289
2,65,384
2,15,1665
2,74,340
2,70,359
2,18,1387
2,17,1469
2,61,412
2,77,324
2,42,599
2,26,967
2,98,256
2,40,624
2,7,3594
2,91,276
2,1,25162
2,68,367
2,49,513
2,56,449
2,32,786
2,58,430
2,9,2775
2,14,1797
2,88,285
2,52,483
2,5,4996
2,54,462
2,55,457
2,22,1143
2,62,405
2,20,1249
2,92,271
2,33,756
2,94,267
2,85,293
2,47,535
2,80,312
2,64,393
2,93,270
2,75,333
2,59,426
2,63,396
2,30,832
2,45,555
2,2,12581
2,21,1198
2,28,898
2,97,259
2,60,416
2,86,290
2,89,280
2,78,320
2,48,520
2,3,8326
2,83,300
2,46,543
2,43,580
2,36,693
2,39,640
2,35,718
2,11,2287
