dport,ts,count
730,68,88
730,69,78
803,69,313
803,81,266
803,82,240
803,83,225
803,84,234
803,94,209
730,38,129
457,18,1620
156,19,449
156,43,211
156,71,128
649,75,201
803,21,1029
649,21,774
392,90,54
574,12,821
574,17,576
574,26,353
574,35,274
574,58,169
574,73,131
457,81,352
574,82,111
574,87,110
574,19,506
392,61,79
648,22,337
649,14,1041
803,46,427
457,47,607
803,49,441
803,72,273
649,22,662
649,50,291
649,74,196
574,43,227
156,1,8541
156,2,4270
574,18,547
457,23,1214
574,49,196
574,62,148
574,72,136
574,97,99
457,22,939
457,94,219
648,11,642
648,23,304
649,67,242
457,13,2197
939,26,203
457,39,716
156,22,388
457,12,2430
457,85,328
457,3,9313
457,8,2584
457,62,333
939,41,108
803,15,1246
803,18,1093
803,26,758
803,90,218
574,23,425
574,48,205
574,71,137
803,24,820
803,25,864
803,98,201
457,14,1477
803,87,248
457,96,303
803,97,222
574,69,139
574,94,97
574,95,103
649,23,657
457,68,428
156,89,102
939,15,282
730,24,250
457,19,1503
649,17,889
649,19,856
649,20,706
803,8,2466
803,32,616
648,10,728
648,66,110
648,73,96
457,11,2597
803,12,1640
803,13,1663
156,15,606
574,15,652
803,17,1100
156,45,202
730,20,300
457,38,544
649,1,16270
803,16,1233
803,34,578
457,21,1360
457,25,1142
457,45,620
803,45,415
457,24,1215
457,92,317
156,20,462
457,43,649
649,86,164
939,86,78
939,88,60
803,93,232
939,93,48
803,10,1968
392,98,108
939,7,638
392,40,122
392,57,83
939,64,82
574,20,492
648,65,107
574,9,1088
574,66,149
803,35,617
803,38,519
803,40,492
156,8,1067
156,16,533
156,27,336
156,37,230
648,39,179
156,53,171
156,62,137
156,100,85
803,47,460
730,2,2451
457,99,282
649,10,1412
649,11,1479
649,13,1251
649,16,910
649,18,784
649,35,464
649,58,243
649,59,275
649,60,235
649,85,177
649,87,187
649,89,169
649,91,178
649,92,153
649,93,174
457,20,1458
648,32,231
648,63,111
803,22,896
803,63,296
574,90,109
803,65,287
156,18,513
156,39,233
156,48,192
457,65,429
156,23,395
574,60,164
648,61,115
457,10,2916
803,43,434
457,83,336
674,23,163
648,60,121
939,36,188
939,46,147
939,66,102
803,3,6233
803,64,308
803,23,813
803,89,210
457,46,634
803,1,21620
803,57,328
648,14,529
457,28,738
574,16,573
648,33,211
574,63,155
574,91,105
156,10,924
156,21,406
156,24,385
156,42,203
156,44,194
156,84,101
156,97,88
803,66,298
730,18,334
730,67,80
730,93,58
457,86,339
457,5,5588
648,42,176
803,31,697
648,89,78
457,61,468
730,25,216
457,73,391
730,74,66
730,96,62
457,42,492
803,30,656
392,23,206
648,21,336
156,92,100
803,20,984
649,94,155
457,74,279
730,23,274
803,68,289
574,79,121
574,89,110
574,92,107
457,17,1643
156,12,770
649,34,415
156,55,155
649,88,165
574,70,131
648,70,105
803,41,527
803,19,1137
803,42,469
730,22,222
156,25,341
457,91,313
803,14,1409
574,42,218
939,20,339
648,90,80
803,71,263
649,65,232
649,81,200
649,82,177
574,47,204
939,16,331
939,17,249
939,19,235
939,32,165
939,40,169
939,44,120
939,47,95
939,90,75
939,96,70
939,84,63
457,67,426
457,72,405
574,68,144
392,4,2654
392,5,949
156,14,610
156,38,224
156,50,170
156,51,178
156,72,128
156,95,95
730,86,69
457,27,1034
574,21,458
803,70,281
730,6,1002
730,26,188
730,60,100
730,66,91
803,50,394
574,13,740
156,34,271
156,32,266
730,87,62
730,89,71
156,11,776
803,7,3088
457,90,324
574,2,4589
392,2,5309
803,11,1965
803,9,2077
803,85,220
156,26,328
156,63,144
156,93,91
803,48,410
156,75,121
457,84,246
156,67,127
803,44,448
803,91,237
574,83,117
648,24,303
392,19,256
392,35,139
392,67,72
392,83,57
392,91,53
457,71,393
648,67,105
939,3,1411
457,4,5169
649,80,176
730,79,68
648,15,466
649,43,351
803,33,566
803,96,205
574,96,102
730,16,306
939,76,69
649,76,191
939,87,51
574,38,241
574,40,246
574,65,150
803,67,322
574,100,91
156,60,154
392,6,815
392,22,482
392,24,203
392,41,118
392,42,252
392,55,88
392,92,53
648,16,463
730,21,257
730,91,59
574,36,273
457,41,696
156,41,208
648,58,125
648,59,119
156,59,144
803,60,328
803,73,296
730,83,76
649,46,307
939,24,282
730,19,284
803,92,213
574,22,417
574,85,115
574,45,217
457,98,211
574,41,234
574,44,208
730,12,501
730,14,350
730,65,97
574,86,114
730,95,66
939,52,101
939,68,99
730,98,50
457,70,295
457,7,4081
574,84,109
457,15,1862
649,37,439
648,47,150
649,72,196
457,60,486
457,48,607
803,86,228
156,17,534
649,68,207
648,81,87
730,9,702
457,87,328
803,29,644
803,62,318
648,9,777
156,82,104
156,87,98
156,91,93
803,39,479
457,9,3104
156,47,181
648,62,119
457,49,583
803,88,224
649,97,167
649,98,148
457,2,10339
574,24,410
574,55,174
574,88,104
574,32,286
649,95,159
156,28,305
648,86,84
648,13,543
649,90,156
648,20,364
457,56,369
674,47,76
574,34,289
574,56,163
392,86,56
939,89,47
457,51,547
674,24,144
674,26,167
674,32,136
674,41,87
674,42,103
674,45,83
674,64,68
939,71,59
648,83,84
156,94,90
648,64,115
457,64,323
730,78,77
803,2,9864
156,73,117
730,37,146
457,16,1292
730,17,371
730,64,76
457,97,294
648,26,285
457,50,413
457,95,294
392,15,316
674,40,86
648,18,404
574,3,3264
648,96,75
649,25,650
156,88,97
730,92,65
457,40,729
574,37,260
574,93,103
574,67,143
648,85,82
156,40,231
156,46,200
156,86,107
648,41,172
392,65,73
457,55,519
392,18,271
648,74,100
730,45,140
457,69,414
649,61,266
648,69,102
803,59,366
574,59,163
648,8,927
457,89,313
730,13,415
730,15,421
730,40,150
803,95,196
648,48,151
156,90,102
392,17,279
392,44,241
392,46,106
392,47,103
392,70,151
392,82,129
392,94,112
457,66,441
648,19,372
156,6,1540
156,29,313
156,30,308
156,36,256
156,54,171
156,56,152
156,64,133
