dport,ts,count
621,68,122
621,69,99
840,69,423
840,81,423
840,82,407
840,83,358
840,84,407
840,94,407
621,38,101
642,18,404
787,19,235
787,43,293
787,71,293
190,75,164
840,21,423
190,21,190
803,90,99
395,12,222
395,17,230
395,26,201
395,35,215
395,58,222
395,73,215
642,81,409
395,82,201
395,87,215
395,19,215
803,61,108
475,22,113
190,14,172
840,46,387
642,47,409
840,49,423
840,72,387
190,22,172
190,50,172
190,74,172
395,43,230
787,1,235
787,2,286
395,18,222
642,23,593
395,49,215
395,62,201
395,72,222
395,97,215
642,22,301
642,94,301
475,11,128
475,23,126
190,67,190
642,13,409
371,26,129
642,39,593
787,22,286
642,12,404
642,85,593
642,3,593
642,8,301
642,62,301
371,41,124
840,15,358
840,18,387
840,26,407
840,90,387
395,23,230
395,48,222
395,71,230
840,24,387
840,25,423
840,98,407
642,14,301
840,87,423
642,96,404
840,97,423
395,69,215
395,94,201
395,95,230
190,23,164
642,68,404
787,89,293
371,15,114
621,24,122
642,19,409
190,17,164
190,19,190
190,20,168
840,8,407
840,32,407
475,10,124
475,66,124
475,73,128
642,11,409
840,12,387
840,13,423
787,15,293
395,15,230
840,17,358
787,45,293
621,20,122
642,38,301
190,1,190
840,16,407
840,34,387
642,21,409
642,25,409
642,45,593
840,45,358
642,24,404
642,92,404
787,20,240
642,43,593
190,86,168
371,86,117
371,88,129
840,93,423
371,93,124
840,10,387
803,98,70
371,7,124
803,40,99
803,57,85
371,64,129
395,20,222
475,65,126
395,9,230
395,66,222
840,35,423
840,38,407
840,40,387
787,8,286
787,16,286
787,27,293
787,37,235
475,39,126
787,53,293
787,62,286
787,100,286
840,47,423
621,2,101
642,99,593
190,10,168
190,11,190
190,13,190
190,16,172
190,18,168
190,35,190
190,58,168
190,59,190
190,60,168
190,85,164
190,87,190
190,89,164
190,91,190
190,92,168
190,93,190
642,20,404
475,32,113
475,63,126
840,22,407
840,63,358
395,90,222
840,65,358
787,18,240
787,39,293
787,48,240
642,65,593
787,23,293
395,60,222
475,61,128
642,10,404
840,43,358
642,83,593
800,23,97
475,60,124
371,36,117
371,46,117
371,66,117
840,3,358
840,64,407
840,23,358
840,89,358
642,46,404
840,1,423
840,57,358
475,14,113
642,28,301
395,16,201
475,33,126
395,63,230
395,91,215
787,10,240
787,21,235
787,24,240
787,42,286
787,44,286
787,84,286
787,97,235
840,66,387
621,18,122
621,67,99
621,93,99
642,86,404
642,5,593
475,42,113
840,31,423
475,89,126
642,61,409
621,25,99
642,73,409
621,74,101
621,96,122
642,42,301
840,30,387
803,23,85
475,21,128
787,92,240
840,20,387
190,94,172
642,74,301
621,23,115
840,68,387
395,79,215
395,89,230
395,92,222
642,17,593
787,12,240
190,34,168
787,55,235
190,88,172
395,70,201
475,70,113
840,41,423
840,19,423
840,42,407
621,22,101
787,25,235
642,91,409
840,14,407
395,42,201
371,20,117
475,90,124
840,71,358
190,65,164
190,81,190
190,82,172
395,47,215
371,16,129
371,17,114
371,19,124
371,32,129
371,40,117
371,44,129
371,47,124
371,90,117
371,96,117
371,84,129
642,67,409
642,72,404
395,68,222
803,4,70
803,5,85
787,14,286
787,38,286
787,50,286
787,51,293
787,72,240
787,95,293
621,86,122
642,27,593
395,21,215
840,70,407
621,6,122
621,26,101
621,60,122
621,66,122
840,50,407
395,13,215
787,34,240
787,32,286
621,87,99
621,89,115
787,11,235
840,7,423
642,90,404
395,2,201
803,2,70
840,11,423
840,9,358
840,85,358
787,26,286
787,63,293
787,93,235
840,48,387
787,75,293
642,84,301
787,67,235
840,44,407
840,91,423
395,83,230
475,24,124
803,19,108
803,35,108
803,67,108
803,83,85
803,91,108
642,71,593
475,67,128
371,3,114
642,4,301
190,80,168
621,79,99
475,15,126
