Query,ts,dport,count
google.com,68,621,14
google.com,69,621,5
google.com,69,621,5
google,69,840,20
google,81,840,14
google,82,840,21
google,82,840,21
google,83,840,24
google,83,840,24
google,84,840,31
google,84,840,31
map quest,86,442,3
google,94,840,20
google.com,38,621,6
google.com,38,621,6
evo.qksrv.net,15,238,4
evo.qksrv.net,15,238,4
-,18,642,27
yahoo,19,787,11
yahoo,43,787,18
yahoo,43,787,18
yahoo,71,787,13
yahoo.com,75,190,1
google,21,840,22
ask jeeves,21,836,7
ask jeeves,21,836,7
yahoo.com,21,190,18
myspace,90,803,7
ebay,12,395,5
ebay,17,395,13
ebay,26,395,5
ebay,35,395,4
ebay,58,395,7
ebay,73,395,6
-,81,642,13
ebay,82,395,8
ebay,87,395,13
paris hilton,71,669,2
paris hilton,71,669,2
ebay,19,395,12
myspace,61,803,13
myspace,61,803,13
myspace,61,803,13
myspace,61,803,13
myspace,61,803,13
myspace,61,803,13
myspace,61,803,13
orbitz,70,625,1
mapquest,22,475,11
mapquest,22,475,11
google.com,69,621,5
internet,2,775,2
yahoo.com,14,190,7
google,46,840,47
google,46,840,47
google,46,840,47
-,47,642,17
google,49,840,8
google,72,840,15
yahoo.com,21,190,18
yahoo.com,21,190,18
yahoo.com,21,190,18
yahoo.com,21,190,18
yahoo.com,22,190,11
yahoo.com,22,190,11
yahoo.com,22,190,11
yahoo.com,50,190,2
yahoo.com,50,190,2
yahoo.com,74,190,7
target,3,79,1
pogo,11,150,2
pogo,14,150,1
pogo,17,150,4
pogo,19,150,3
pogo,23,150,4
pogo,24,150,2
pogo,34,150,1
pogo,40,150,5
ebay,43,395,14
pogo,46,150,2
pogo,58,150,1
pogo,68,150,1
pogo,91,150,4
pogo,94,150,3
-,47,642,17
yahoo,1,787,2
yahoo,2,787,8
ebay,17,395,13
ebay,18,395,16
-,23,642,13
ebay,49,395,11
ebay,62,395,14
ebay,72,395,21
ebay,72,395,21
ebay,97,395,6
-,22,642,18
-,94,642,16
mapquest,11,475,3
mapquest,23,475,16
mapquest,23,475,16
mapquest,23,475,16
mapquest,23,475,16
mapquest,23,475,16
yahoo.com,67,190,5
yellow pages,36,185,2
pussy,40,548,2
www.yahoo.com,20,16,4
www.yahoo.com,20,16,4
ebay.com,90,1000,5
internet,15,775,9
internet,15,775,9
internet,15,775,9
http,15,832,4
http,15,832,4
http,15,832,4
http,15,832,4
internet,62,775,3
-,13,642,12
myspace.com,26,371,4
www.myspace.com,27,365,1
mapquest.com,63,451,1
yahoo mail,10,793,2
-,39,642,26
-,39,642,26
-,39,642,26
-,39,642,26
-,39,642,26
-,39,642,26
yahoo,22,787,14
hotmail,22,760,1
ask jeeves,22,836,4
ask jeeves,22,836,4
ask jeeves,22,836,4
ask jeeves,22,836,4
ask jeeves,47,836,3
ask jeeves,47,836,3
-,12,642,8
-,47,642,17
internet,47,775,1
-,47,642,17
-,47,642,17
-,85,642,21
-,3,642,2
-,8,642,10
-,62,642,21
myspace.com,41,371,6
google,15,840,20
google,15,840,20
google,18,840,23
google,18,840,23
google,26,840,10
google,90,840,26
google,90,840,26
ebay,23,395,13
ebay,48,395,8
ebay,71,395,18
southwest airlines,26,24,4
google,24,840,25
google,24,840,25
google,25,840,29
google,25,840,29
google,24,840,25
google,24,840,25
google,69,840,20
google,69,840,20
google,69,840,20
google,69,840,20
google,69,840,20
google,98,840,9
bankofamerica,69,305,1
www.myspace.com,21,365,2
www.myspace.com,22,365,5
www.myspace.com,24,365,4
www.myspace.com,24,365,4
www.myspace.com,43,365,1
www.myspace.com,48,365,3
www.myspace.com,74,365,2
home depot,9,354,1
map quest,21,442,2
map quest,42,442,3
-,13,642,12
-,14,642,21
google,87,840,21
-,96,642,16
google,97,840,8
.com,16,746,3
http,43,832,7
http,43,832,7
http,43,832,7
http,87,832,3
southwest.com,1,945,9
ebay,69,395,8
ebay,94,395,7
ebay,95,395,17
http,49,832,2
http,49,832,2
www.yahoo.com,16,16,4
www.yahoo.com,16,16,4
www.yahoo.com,17,16,5
yahoo.com,23,190,9
-,68,642,24
craigslist,70,449,2
craigslist,70,449,2
yahoo,89,787,16
amazon.com,17,571,1
myspace.com,15,371,5
myspace.com,15,371,5
dictionary,49,488,1
weather,67,808,1
msn.com,68,679,1
msn.com,69,679,9
msn.com,69,679,9
msn.com,69,679,9
www.google,9,179,1
www.google,10,179,2
www.google,10,179,2
www.google,11,179,1
ebay.com,19,1000,5
ebay.com,42,1000,5
ebay.com,43,1000,6
ebay.com,67,1000,6
ebay.com,86,1000,5
hotmail,19,760,3
hotmail,19,760,3
google.com,24,621,8
google,49,840,8
google,49,840,8
-,19,642,16
dictionary,43,488,1
home depot,72,354,1
hotmail,68,760,1
hotmail,75,760,1
yahoo.com,17,190,6
yahoo.com,17,190,6
yahoo.com,17,190,6
yahoo.com,17,190,6
yahoo.com,19,190,15
yahoo.com,20,190,13
map quest,87,442,4
google,8,840,6
google,32,840,11
mapquest,10,475,6
mapquest,66,475,8
mapquest,73,475,1
-,11,642,19
google,12,840,10
google,12,840,10
google,13,840,22
-,14,642,21
-,14,642,21
-,14,642,21
-,14,642,21
-,14,642,21
yahoo,15,787,15
yahoo,15,787,15
ebay,15,395,9
google,17,840,28
ebay,19,395,12
yahoo,45,787,18
mapquest,22,475,11
google.com,20,621,30
google.com,20,621,30
-,38,642,19
bank of america,71,466,2
bank of america,97,466,1
yahoo.com,1,190,4
yahoo.com,1,190,4
google,16,840,34
horoscope,8,77,1
horoscope,31,77,1
horoscope,57,77,1
pogo.com,46,467,1
pogo.com,47,467,2
american idol,19,223,3
google,34,840,11
pogo,25,150,2
horoscope,25,77,1
pogo,25,150,2
pogo,49,150,1
pogo,93,150,1
www.google,13,179,1
-,21,642,26
-,25,642,24
-,45,642,21
google,45,840,34
bankofamerica,12,305,1
bankofamerica,37,305,2
bankofamerica,37,305,2
bankofamerica,66,305,2
ancestry.com,23,363,4
ancestry.com,23,363,4
ancestry.com,23,363,4
ancestry.com,23,363,4
internet,18,775,8
hotmail.com,11,894,1
internet,15,775,9
-,18,642,27
-,24,642,14
msn.com,58,679,3
msn.com,58,679,3
msn.com,58,679,3
weather,27,808,1
weather,28,808,2
porn,36,233,2
porn,36,233,2
weather,36,808,3
weather,37,808,5
weather,37,808,5
weather,37,808,5
-,18,642,27
-,92,642,34
map quest,19,442,1
yahoo,20,787,23
-,43,642,34
pogo,63,150,2
pogo,63,150,2
yahoo.com,86,190,7
yahoo.com,86,190,7
myspace.com,86,371,7
myspace.com,88,371,3
google,93,840,22
myspace.com,93,371,4
goggle,10,161,1
google,10,840,15
ebay,95,395,17
ebay,95,395,17
ebay,95,395,17
ebay,95,395,17
myspace layouts,73,609,1
myspace,98,803,6
myspace,98,803,6
southwest airlines,22,24,1
home depot,60,354,2
.com,17,746,3
myspace.com,7,371,5
myspace,40,803,4
myspace,57,803,2
myspace.com,64,371,4
prom dresses,90,137,1
yahoo.com,19,190,15
yahoo.com,19,190,15
yahoo.com,19,190,15
yahoo.com,19,190,15
yahoo.com,19,190,15
ebay,20,395,12
mapquest,65,475,9
map quest,38,442,4
map quest,38,442,4
pogo,16,150,1
pogo,18,150,3
pogo,23,150,4
ancestry.com,85,363,1
ancestry.com,87,363,3
ancestry.com,87,363,3
ancestry.com,87,363,3
ancestry.com,89,363,2
ancestry.com,89,363,2
amazon.com,35,571,3
amazon.com,35,571,3
amazon.com,35,571,3
ebay,9,395,5
google,12,840,10
ebay,20,395,12
ebay,23,395,13
ebay,43,395,14
google,46,840,47
ebay,62,395,14
ebay,62,395,14
ebay,62,395,14
ebay,66,395,11
ebay,87,395,13
.com,90,746,2
american idol,34,223,3
www.google.com,40,244,5
www.myspace.com,96,365,1
www.google.com,96,244,2
www.google.com,96,244,2
-,24,642,14
google,35,840,13
google,35,840,13
google,38,840,8
google,40,840,17
google,40,840,17
bank of america,35,466,3
yahoo,8,787,4
yahoo,16,787,7
yahoo,27,787,11
yahoo,27,787,11
yahoo,37,787,6
mapquest,39,475,6
yahoo,53,787,1
ask jeeves,62,836,4
yahoo,62,787,11
yahoo,62,787,11
yahoo,62,787,11
yahoo,100,787,2
-,18,642,27
irs,18,417,3
american idol,50,223,1
american idol,64,223,6
google,47,840,22
www.google.com,94,244,1
google.com,2,621,3
-,99,642,4
prom dresses,20,137,6
yahoo.com,10,190,4
yahoo.com,11,190,6
yahoo.com,11,190,6
yahoo.com,13,190,2
yahoo.com,14,190,7
yahoo.com,14,190,7
yahoo.com,16,190,15
yahoo.com,17,190,6
yahoo.com,18,190,1
yahoo.com,19,190,15
yahoo.com,19,190,15
yahoo.com,19,190,15
yahoo.com,20,190,13
yahoo.com,21,190,18
yahoo.com,21,190,18
yahoo.com,21,190,18
yahoo.com,35,190,9
yahoo.com,35,190,9
yahoo.com,58,190,4
yahoo.com,59,190,7
yahoo.com,60,190,8
yahoo.com,60,190,8
yahoo.com,60,190,8
yahoo.com,85,190,7
yahoo.com,85,190,7
yahoo.com,85,190,7
yahoo.com,87,190,4
yahoo.com,87,190,4
yahoo.com,89,190,11
yahoo.com,89,190,11
yahoo.com,91,190,10
yahoo.com,92,190,8
yahoo.com,92,190,8
yahoo.com,93,190,9
yahoo.com,93,190,9
yahoo.com,93,190,9
yahoo.com,93,190,9
-,20,642,18
-,20,642,18
map quest,15,442,5
google,10,840,15
mapquest,32,475,2
horoscope,59,77,1
mapquest,63,475,11
yahoo.com,20,190,13
google,22,840,39
www.yahoo.com,48,16,3
www.yahoo.com,91,16,9
www.yahoo.com,91,16,9
irs,59,417,1
fidelity.com,4,554,5
fidelity.com,4,554,5
fidelity.com,4,554,5
fidelity.com,5,554,2
fidelity.com,5,554,2
http,25,832,2
http,25,832,2
southwest airlines,52,24,1
http,52,832,2
southwest airlines,66,24,1
maps,71,404,2
walmart,97,513,1
ebay,15,395,9
ebay,17,395,13
ebay,23,395,13
google,63,840,29
ebay,90,395,9
mapquest,23,475,16
google,65,840,19
yahoo,18,787,12
yahoo.com,91,190,10
yellow pages,20,185,2
yellow pages,20,185,2
ebay,20,395,12
yahoo,20,787,23
yahoo,39,787,7
yahoo,48,787,12
www.ebay.com,48,31,1
ebay.com,64,1000,3
m,67,255,1
.com,74,746,1
map quest,64,442,3
map quest,70,442,1
sex,12,35,2
sex,12,35,2
-,65,642,110
rome italy maps,65,996,4
rome italy maps,65,996,4
rome italy maps,65,996,4
rome italy maps,65,996,4
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
rome italy maps,66,996,42
yahoo,23,787,12
yahoo,23,787,12
yahoo,23,787,12
yahoo,23,787,12
yahoo,23,787,12
yahoo,23,787,12
ebay,60,395,10
ebay,60,395,10
mapquest,61,475,13
yahoo mail,73,793,1
yahoo mail,90,793,1
-,10,642,9
google,43,840,27
-,39,642,26
-,83,642,13
my space.com,56,718,1
familywatchdog.us,22,496,2
familywatchdog.us,22,496,2
google,22,840,39
games.myspace.com,23,800,9
games.myspace.com,23,800,9
games.myspace.com,23,800,9
www.google.com,63,244,3
google,17,840,28
mapquest.com,51,451,1
mapquest,60,475,17
myspace.com,36,371,2
myspace.com,46,371,1
myspace.com,66,371,9
myspace.com,66,371,9
my space,68,120,2
myspace,90,803,7
weather,21,808,12
weather,21,808,12
weather,21,808,12
-,23,642,13
-,85,642,21
google,82,840,21
google,82,840,21
google,82,840,21
walmart,82,513,2
dictionary,14,488,3
google,3,840,9
google,3,840,9
google,3,840,9
google,3,840,9
google,3,840,9
google,3,840,9
google,64,840,28
google,65,840,19
google,65,840,19
google,23,840,23
google,23,840,23
google,23,840,23
google,89,840,16
expedia,59,902,1
expedia,62,902,1
-,46,642,16
google,1,840,14
google,1,840,14
google,38,840,8
google,72,840,15
ebay.com,10,1000,4
ebay.com,10,1000,4
ebay.com,44,1000,4
google,57,840,8
google,63,840,29
google,63,840,29
internet,2,775,2
goggle,9,161,4
goggle,9,161,4
goggle,9,161,4
goggle,9,161,4
my space.com,20,718,1
mapquest,14,475,5
-,28,642,8
ebay,15,395,9
ebay,16,395,17
ebay,16,395,17
ebay,19,395,12
mapquest,33,475,6
mapquest,33,475,6
ebay,63,395,9
ebay,91,395,12
internet,73,775,3
internet,73,775,3
internet,73,775,3
internet,16,775,8
free porn,43,916,2
free porn,43,916,2
free porn,69,916,4
free porn,69,916,4
free porn,69,916,4
free porn,69,916,4
free porn,70,916,1
free porn,91,916,2
free porn,91,916,2
free porn,93,916,4
free porn,93,916,4
free porn,93,916,4
free porn,93,916,4
free porn,95,916,3
free porn,95,916,3
free porn,95,916,3
malcolm x,22,273,1
yahoo mail,5,793,1
-,10,642,9
map quest,23,442,5
www.google,4,179,1
google,69,840,20
ask jeeves,82,836,3
yahoo,10,787,7
yahoo,19,787,11
yahoo,19,787,11
yahoo,19,787,11
yahoo,20,787,23
yahoo,21,787,13
yahoo,24,787,14
yahoo,24,787,14
