Query,QueryT,QueryTime,Count
ebay,ebay107,107,11
mapquest,mapquest162,162,1
ebay,ebay673,673,12
mapquest,mapquest1576,1576,11
google,google1692,1692,16
-,-2060,2060,332
-,-2064,2064,296
-,-2173,2173,286
google.com,google.com207,207,5
google.com,google.com1811,1811,7
google.com,google.com68,68,14
google.com,google.com69,69,5
google,google69,69,20
google,google81,81,14
google,google82,82,21
google,google83,83,24
google,google84,84,31
google,google94,94,20
google,google108,108,16
google,google109,109,32
google,google110,110,25
google,google112,112,26
google,google114,114,23
google,google255,255,22
google,google256,256,30
google,google282,282,33
google,google311,311,30
google,google368,368,4
google,google382,382,37
google,google430,430,29
google,google479,479,16
google,google480,480,26
google,google500,500,36
google,google525,525,24
google,google536,536,8
google,google549,549,47
google,google550,550,48
google,google560,560,4
google,google783,783,29
google,google817,817,20
google,google818,818,9
google,google933,933,18
google,google951,951,13
google,google952,952,14
google,google981,981,33
google,google982,982,24
google,google1100,1100,12
google,google1103,1103,11
google,google1116,1116,15
google,google1117,1117,4
google,google1119,1119,11
google,google1148,1148,15
google,google1222,1222,24
google,google1320,1320,20
google,google1366,1366,50
google,google1437,1437,31
google,google1438,1438,10
google,google1484,1484,19
google,google1486,1486,18
google,google1496,1496,8
google,google1650,1650,22
google,google1651,1651,51
google,google1676,1676,33
google,google1677,1677,37
google,google1678,1678,31
google,google1794,1794,52
google,google1845,1845,30
google.com,google.com38,38,6
google.com,google.com204,204,16
google,google381,381,36
google.com,google.com397,397,4
google.com,google.com830,830,6
google.com,google.com879,879,6
google.com,google.com1075,1075,8
google.com,google.com1115,1115,5
google.com,google.com1141,1141,3
google.com,google.com1242,1242,6
google.com,google.com1266,1266,3
google.com,google.com1309,1309,12
google.com,google.com1380,1380,1
google.com,google.com1476,1476,2
google.com,google.com1477,1477,3
google.com,google.com1498,1498,3
google.com,google.com1502,1502,4
google.com,google.com1525,1525,2
google.com,google.com1547,1547,2
google,google1817,1817,36
google.com,google.com1833,1833,1
google.com,google.com1917,1917,13
google.com,google.com1977,1977,3
google.com,google.com2131,2131,5
google.com,google.com2170,2170,5
google.com,google.com1551,1551,3
www.google.com,www.google.com1843,1843,2
google.com,google.com1886,1886,6
-,-2198,2198,768
-,-18,18,27
yahoo,yahoo19,19,11
yahoo,yahoo43,43,18
google,google242,242,17
google,google262,262,19
google,google263,263,21
google,google455,455,27
-,-1919,1919,240
-,-1922,1922,134
-,-1942,1942,266
google,google1942,1942,21
-,-1944,1944,215
-,-1968,1968,210
-,-1969,1969,189
-,-1993,1993,631
-,-2038,2038,301
-,-2039,2039,311
-,-2106,2106,246
-,-2131,2131,275
-,-586,586,17
-,-588,588,18
-,-1907,1907,146
-,-1912,1912,213
-,-1931,1931,213
-,-1933,1933,226
-,-1966,1966,293
-,-1985,1985,486
-,-2029,2029,166
-,-2035,2035,303
-,-2056,2056,543
yahoo,yahoo71,71,13
yahoo.com,yahoo.com75,75,1
google.com,google.com185,185,6
google.com,google.com235,235,1
google,google21,21,22
google.com,google.com373,373,1
google.com,google.com1391,1391,16
-,-492,492,17
-,-1287,1287,19
yahoo.com,yahoo.com21,21,18
google.com,google.com1654,1654,5
-,-836,836,9
myspace,myspace90,90,7
-,-1018,1018,7
google.com,google.com1583,1583,17
-,-2072,2072,89
-,-2151,2151,357
-,-2203,2203,889
google,google156,156,27
-,-1906,1906,171
-,-1943,1943,224
-,-2008,2008,218
-,-2087,2087,331
-,-2134,2134,308
-,-2135,2135,254
-,-152,152,9
-,-352,352,15
yahoo.com,yahoo.com353,353,5
ebay,ebay1551,1551,14
-,-2058,2058,434
-,-110,110,19
ebay,ebay12,12,5
ebay,ebay17,17,13
ebay,ebay26,26,5
ebay,ebay35,35,4
ebay,ebay58,58,7
ebay,ebay73,73,6
-,-81,81,13
ebay,ebay82,82,8
ebay,ebay87,87,13
ebay,ebay106,106,14
ebay,ebay132,132,7
ebay,ebay179,179,8
ebay,ebay195,195,4
ebay,ebay202,202,9
ebay,ebay228,228,6
ebay,ebay387,387,2
ebay,ebay710,710,7
ebay,ebay722,722,7
ebay,ebay733,733,9
ebay,ebay735,735,8
yahoo,yahoo747,747,5
ebay,ebay747,747,1
ebay,ebay767,767,16
ebay,ebay1046,1046,3
ebay,ebay1058,1058,7
ebay,ebay1236,1236,3
ebay,ebay1403,1403,4
-,-1437,1437,7
ebay,ebay1669,1669,3
ebay,ebay1717,1717,8
ebay,ebay1732,1732,4
ebay,ebay1742,1742,13
ebay,ebay2067,2067,2
-,-2197,2197,712
-,-2199,2199,815
-,-1098,1098,15
-,-1362,1362,19
-,-2200,2200,919
-,-2186,2186,211
google,google398,398,16
google.com,google.com428,428,3
-,-922,922,18
myspace,myspace1437,1437,3
ebay,ebay19,19,12
myspace,myspace61,61,13
myspace,myspace144,144,5
ebay,ebay181,181,11
myspace,myspace190,190,14
myspace,myspace205,205,1
myspace,myspace218,218,2
google,google241,241,14
google,google292,292,9
ebay,ebay301,301,12
mapquest,mapquest302,302,11
myspace,myspace324,324,2
ebay,ebay340,340,2
google,google351,351,31
mapquest,mapquest351,351,9
ebay,ebay352,352,15
google,google359,359,34
myspace,myspace359,359,9
myspace,myspace374,374,7
ebay,ebay375,375,6
ebay,ebay400,400,4
google,google409,409,13
ebay,ebay423,423,13
ebay,ebay458,458,2
ebay,ebay460,460,4
ebay,ebay481,481,4
ebay,ebay507,507,3
myspace,myspace548,548,6
myspace,myspace551,551,8
ebay,ebay558,558,3
ebay,ebay581,581,1
myspace.com,myspace.com585,585,2
myspace,myspace592,592,3
myspace,myspace599,599,8
myspace,myspace609,609,3
myspace,myspace617,617,6
myspace,myspace631,631,2
myspace,myspace662,662,7
myspace,myspace681,681,4
myspace,myspace710,710,2
google,google711,711,9
myspace,myspace737,737,16
myspace,myspace745,745,8
myspace,myspace758,758,9
google,google799,799,1
google,google810,810,38
mapquest,mapquest832,832,3
mapquest,mapquest833,833,8
myspace,myspace883,883,6
myspace,myspace902,902,4
myspace,myspace904,904,4
myspace,myspace907,907,4
myspace,myspace908,908,6
myspace,myspace910,910,5
myspace,myspace933,933,5
myspace,myspace980,980,15
myspace,myspace987,987,6
ebay,ebay999,999,6
ebay,ebay1001,1001,4
myspace,myspace1003,1003,6
myspace,myspace1053,1053,2
ebay,ebay1059,1059,3
myspace,myspace1071,1071,5
myspace,myspace1075,1075,6
myspace,myspace1094,1094,5
google,google1106,1106,7
myspace,myspace1120,1120,4
myspace,myspace1142,1142,2
myspace,myspace1171,1171,6
myspace,myspace1189,1189,5
ebay,ebay1194,1194,4
ebay,ebay1196,1196,9
myspace,myspace1214,1214,6
ebay,ebay1220,1220,11
ebay,ebay1228,1228,2
ebay,ebay1238,1238,5
ebay,ebay1240,1240,6
myspace,myspace1242,1242,4
ebay,ebay1253,1253,1
myspace,myspace1260,1260,3
myspace,myspace1294,1294,5
myspace,myspace1317,1317,5
ebay,ebay1345,1345,11
ebay,ebay1347,1347,2
ebay,ebay1363,1363,13
myspace,myspace1364,1364,9
myspace,myspace1407,1407,1
myspace,myspace1508,1508,5
myspace,myspace1514,1514,5
myspace,myspace1515,1515,1
myspace,myspace1531,1531,7
ebay,ebay1540,1540,4
myspace,myspace1548,1548,5
google,google1576,1576,15
google,google1634,1634,6
ebay,ebay1660,1660,3
myspace,myspace1672,1672,9
myspace,myspace1694,1694,5
ebay,ebay1702,1702,15
myspace,myspace1706,1706,2
ebay,ebay1708,1708,1
google,google1718,1718,15
google,google1719,1719,20
ebay,ebay1719,1719,7
myspace,myspace1720,1720,5
myspace,myspace1802,1802,6
myspace,myspace1826,1826,9
ebay,ebay1828,1828,1
myspace,myspace1839,1839,6
myspace,myspace1911,1911,5
ebay,ebay1911,1911,3
mapquest,mapquest1916,1916,11
myspace,myspace1936,1936,8
yahoo,yahoo1971,1971,1
myspace,myspace1971,1971,2
myspace,myspace1980,1980,1
ebay,ebay1987,1987,7
myspace,myspace1995,1995,4
google,google2011,2011,32
ebay,ebay2042,2042,2
myspace,myspace2057,2057,18
ebay,ebay2059,2059,6
mapquest,mapquest2068,2068,1
ebay,ebay2083,2083,7
myspace,myspace2087,2087,12
ebay,ebay2089,2089,7
myspace,myspace2091,2091,1
ebay,ebay2100,2100,6
myspace,myspace2100,2100,6
google.com,google.com116,116,9
google,google1798,1798,21
google,google1966,1966,30
-,-2208,2208,1004
-,-903,903,9
www.google.com,www.google.com1909,1909,1
-,-646,646,19
mapquest,mapquest22,22,11
google.com,google.com1988,1988,18
-,-2196,2196,787
-,-144,144,13
google.com,google.com231,231,5
google.com,google.com521,521,18
-,-574,574,26
google.com,google.com689,689,8
google.com,google.com690,690,5
-,-1989,1989,291
-,-2077,2077,285
-,-2100,2100,252
-,-2101,2101,269
-,-2176,2176,386
-,-2177,2177,404
yahoo.com,yahoo.com14,14,7
google,google46,46,47
-,-47,47,17
google,google49,49,8
google,google72,72,15
yahoo.com,yahoo.com1214,1214,3
yahoo.com,yahoo.com1358,1358,4
yahoo.com,yahoo.com1526,1526,2
yahoo.com,yahoo.com1620,1620,8
yahoo.com,yahoo.com1909,1909,5
yahoo.com,yahoo.com1910,1910,4
yahoo.com,yahoo.com22,22,11
yahoo.com,yahoo.com50,50,2
yahoo.com,yahoo.com74,74,7
-,-2206,2206,1094
ebay,ebay43,43,14
ebay,ebay311,311,12
ebay,ebay638,638,10
google,google1172,1172,33
google,google1982,1982,20
ebay,ebay2034,2034,13
-,-2195,2195,765
-,-2205,2205,974
google,google141,141,35
google,google357,357,59
google,google526,526,35
google,google527,527,25
-,-985,985,7
-,-1886,1886,197
-,-2170,2170,245
-,-2174,2174,362
mapquest,mapquest670,670,18
mapquest,mapquest873,873,3
mapquest,mapquest1093,1093,5
mapquest,mapquest1108,1108,2
mapquest,mapquest1619,1619,10
mapquest,mapquest1623,1623,6
mapquest,mapquest1624,1624,4
mapquest,mapquest1764,1764,9
mapquest,mapquest1892,1892,9
google,google2078,2078,23
google,google2079,2079,20
google,google2102,2102,18
google,google2183,2183,18
yahoo,yahoo1,1,2
yahoo,yahoo2,2,8
google,google337,337,2
ebay,ebay18,18,16
-,-23,23,13
ebay,ebay49,49,11
ebay,ebay62,62,14
ebay,ebay72,72,21
ebay,ebay97,97,6
ebay,ebay112,112,11
ebay,ebay121,121,6
ebay,ebay168,168,14
ebay,ebay186,186,8
-,-425,425,24
-,-448,448,43
-,-540,540,10
-,-563,563,15
-,-570,570,12
-,-810,810,23
-,-842,842,15
-,-1168,1168,14
-,-22,22,18
-,-94,94,16
-,-806,806,15
google.com,google.com1464,1464,3
-,-1317,1317,28
myspace,myspace1912,1912,16
myspace,myspace1935,1935,3
www.google.com,www.google.com1959,1959,2
mapquest,mapquest139,139,7
mapquest,mapquest232,232,5
mapquest,mapquest494,494,4
mapquest,mapquest1525,1525,7
mapquest,mapquest1650,1650,8
yahoo.com,yahoo.com1675,1675,7
google.com,google.com1717,1717,3
mapquest,mapquest1723,1723,4
-,-2078,2078,258
google.com,google.com2082,2082,7
google.com,google.com2103,2103,9
yahoo.com,yahoo.com2103,2103,7
google.com,google.com2200,2200,2
mapquest,mapquest11,11,3
mapquest,mapquest1603,1603,6
-,-1883,1883,184
-,-1920,1920,210
-,-2016,2016,314
-,-2183,2183,399
ebay,ebay325,325,9
yahoo,yahoo376,376,10
-,-2113,2113,261
-,-2126,2126,214
-,-2133,2133,326
google,google2159,2159,18
-,-163,163,24
myspace.com,myspace.com183,183,7
myspace.com,myspace.com191,191,6
mapquest,mapquest23,23,16
yahoo.com,yahoo.com67,67,5
yahoo.com,yahoo.com1080,1080,6
mapquest,mapquest1499,1499,7
yahoo,yahoo1678,1678,15
mapquest,mapquest2113,2113,4
-,-2179,2179,372
google.com,google.com1053,1053,7
-,-1429,1429,9
google.com,google.com1459,1459,5
-,-2182,2182,456
-,-113,113,25
-,-141,141,20
-,-841,841,7
google.com,google.com816,816,15
google.com,google.com930,930,10
google,google936,936,17
google.com,google.com1794,1794,19
google.com,google.com1801,1801,2
mapquest,mapquest188,188,12
ebay,ebay402,402,8
ebay,ebay425,425,14
mapquest,mapquest571,571,6
-,-1119,1119,67
-,-2014,2014,282
-,-2156,2156,451
ebay,ebay117,117,16
google,google117,117,23
mapquest,mapquest304,304,4
google,google490,490,12
mapquest,mapquest490,490,3
mapquest,mapquest807,807,8
google,google470,470,19
google,google475,475,26
myspace.com,myspace.com978,978,5
-,-710,710,17
-,-1049,1049,14
-,-2181,2181,515
google.com,google.com449,449,7
google.com,google.com954,954,7
www.google.com,www.google.com1962,1962,8
mapquest,mapquest960,960,3
www.google.com,www.google.com1462,1462,5
-,-2129,2129,306
-,-2185,2185,280
mapquest,mapquest681,681,9
-,-1342,1342,14
-,-590,590,11
google.com,google.com859,859,7
-,-1882,1882,170
-,-13,13,12
myspace.com,myspace.com26,26,4
myspace.com,myspace.com241,241,3
myspace.com,myspace.com310,310,5
google.com,google.com363,363,3
myspace.com,myspace.com405,405,4
google.com,google.com405,405,3
myspace.com,myspace.com448,448,8
-,-575,575,11
myspace.com,myspace.com575,575,7
-,-576,576,16
-,-580,580,6
myspace.com,myspace.com597,597,3
myspace.com,myspace.com622,622,9
myspace,myspace646,646,17
myspace.com,myspace.com690,690,6
myspace.com,myspace.com754,754,5
-,-757,757,19
-,-764,764,10
-,-765,765,18
-,-766,766,16
myspace.com,myspace.com767,767,9
myspace.com,myspace.com773,773,7
myspace.com,myspace.com817,817,6
myspace.com,myspace.com1896,1896,4
myspace.com,myspace.com1936,1936,5
-,-1937,1937,300
-,-2015,2015,388
myspace.com,myspace.com2034,2034,7
-,-2037,2037,331
myspace.com,myspace.com2041,2041,3
-,-2061,2061,301
-,-2067,2067,133
-,-2080,2080,259
-,-2082,2082,284
-,-2102,2102,266
-,-2123,2123,220
myspace.com,myspace.com2127,2127,3
myspace.com,myspace.com2150,2150,4
myspace.com,myspace.com2203,2203,4
myspace.com,myspace.com2205,2205,13
myspace.com,myspace.com2206,2206,4
-,-1964,1964,290
-,-358,358,25
-,-1888,1888,240
-,-1982,1982,212
-,-1990,1990,281
-,-1992,1992,428
-,-2009,2009,289
-,-2157,2157,461
-,-2160,2160,337
-,-39,39,26
google,google165,165,35
yahoo,yahoo340,340,4
google,google344,344,3
yahoo,yahoo346,346,12
yahoo,yahoo357,357,20
yahoo,yahoo404,404,10
-,-496,496,12
-,-1892,1892,263
-,-1932,1932,237
-,-1987,1987,319
-,-2103,2103,251
mapquest,mapquest2103,2103,9
-,-2110,2110,323
yahoo.com,yahoo.com2134,2134,12
-,-2137,2137,229
-,-2168,2168,111
-,-2202,2202,941
-,-2204,2204,976
yahoo,yahoo22,22,14
-,-132,132,18
yahoo,yahoo1839,1839,6
-,-1923,1923,64
-,-1945,1945,233
-,-1946,1946,126
-,-1960,1960,278
-,-238,238,17
-,-12,12,8
-,-85,85,21
-,-134,134,13
-,-323,323,23
-,-445,445,16
-,-565,565,8
-,-658,658,6
-,-683,683,10
-,-735,735,11
-,-754,754,11
-,-932,932,12
-,-952,952,16
-,-1162,1162,25
-,-1217,1217,21
yahoo.com,yahoo.com431,431,8
-,-3,3,2
www.google.com,www.google.com1101,1101,3
-,-8,8,10
-,-62,62,21
-,-719,719,25
-,-1893,1893,279
-,-1894,1894,329
-,-1918,1918,252
-,-2155,2155,356
ebay,ebay966,966,1
myspace.com,myspace.com41,41,6
mapquest,mapquest1004,1004,2
mapquest,mapquest1438,1438,9
mapquest,mapquest1819,1819,11
mapquest,mapquest1410,1410,9
ebay,ebay1090,1090,16
yahoo.com,yahoo.com2132,2132,5
-,-494,494,13
-,-546,546,27
-,-889,889,6
ebay,ebay983,983,10
-,-1007,1007,10
google,google15,15,20
google,google18,18,23
google,google26,26,10
google,google90,90,26
google,google212,212,39
google,google318,318,6
google,google440,440,18
google,google552,552,25
google,google1310,1310,21
google,google1312,1312,9
google,google1411,1411,21
google,google1475,1475,15
yahoo,yahoo1249,1249,7
yahoo,yahoo1320,1320,7
mapquest,mapquest2061,2061,11
mapquest,mapquest2082,2082,6
ebay,ebay23,23,13
ebay,ebay48,48,8
ebay,ebay71,71,18
ebay,ebay143,143,12
ebay,ebay216,216,10
ebay,ebay254,254,10
ebay,ebay358,358,13
ebay,ebay359,359,5
ebay,ebay406,406,11
ebay,ebay429,429,9
ebay,ebay503,503,10
ebay,ebay527,527,16
ebay,ebay595,595,17
ebay,ebay647,647,17
google.com,google.com1318,1318,10
yahoo,yahoo1319,1319,5
yahoo.com,yahoo.com1391,1391,6
yahoo.com,yahoo.com1487,1487,3
yahoo.com,yahoo.com1511,1511,6
yahoo.com,yahoo.com1557,1557,6
ebay,ebay1557,1557,6
yahoo.com,yahoo.com1603,1603,3
yahoo,yahoo1621,1621,11
yahoo.com,yahoo.com1823,1823,10
google,google166,166,36
-,-1917,1917,240
-,-1977,1977,136
-,-1978,1978,117
-,-2026,2026,176
-,-2075,2075,202
-,-2083,2083,358
-,-2159,2159,300
-,-2172,2172,253
-,-353,353,17
yahoo.com,yahoo.com682,682,8
myspace.com,myspace.com212,212,12
-,-2033,2033,230
www.google.com,www.google.com927,927,6
myspace,myspace1028,1028,2
google,google1029,1029,16
google,google466,466,10
mapquest,mapquest473,473,7
-,-1936,1936,283
-,-2132,2132,253
-,-284,284,43
ebay,ebay1265,1265,8
-,-2201,2201,943
google.com,google.com1099,1099,2
google.com,google.com1100,1100,11
myspace.com,myspace.com1561,1561,4
yahoo,yahoo239,239,19
yahoo,yahoo282,282,3
yahoo,yahoo477,477,23
google,google738,738,16
google,google860,860,26
google,google1056,1056,8
google,google24,24,25
google,google25,25,29
-,-593,593,33
ebay,ebay692,692,11
google,google1597,1597,18
yahoo.com,yahoo.com1677,1677,6
google,google1695,1695,25
ebay,ebay1696,1696,10
