dport,ts,total count,count
1,60,1024,11
1,73,1024,13
1,70,1024,15
1,82,1024,18
1,34,1024,14
1,7,1024,8
1,37,1024,9
1,30,1024,13
1,23,1024,10
1,44,1024,12
1,72,1024,8
1,20,1024,5
1,78,1024,14
1,75,1024,9
1,58,1024,16
1,34,1024,14
1,37,1024,9
1,6,1024,8
1,38,1024,12
1,24,1024,7
1,51,1024,5
1,61,1024,14
1,59,1024,9
1,7,1024,8
1,55,1024,11
1,15,1024,14
1,32,1024,8
1,30,1024,13
1,45,1024,11
1,29,1024,15
1,93,1024,15
1,44,1024,12
1,54,1024,11
1,11,1024,10
1,71,1024,12
1,25,1024,8
1,82,1024,18
1,26,1024,5
1,92,1024,10
1,29,1024,15
1,41,1024,10
1,27,1024,9
1,62,1024,10
1,8,1024,9
1,28,1024,9
1,19,1024,11
1,42,1024,10
1,98,1024,15
1,65,1024,14
1,33,1024,12
1,33,1024,12
1,81,1024,9
1,28,1024,9
1,33,1024,12
1,20,1024,5
1,16,1024,11
1,82,1024,18
1,46,1024,9
1,55,1024,11
1,50,1024,12
1,24,1024,7
1,40,1024,11
1,41,1024,10
1,100,1024,13
1,57,1024,9
1,44,1024,12
1,45,1024,11
1,29,1024,15
1,13,1024,9
1,54,1024,11
1,9,1024,13
1,68,1024,6
1,97,1024,16
1,8,1024,9
1,80,1024,9
1,88,1024,12
1,96,1024,12
1,42,1024,10
1,78,1024,14
1,56,1024,10
1,37,1024,9
1,97,1024,16
1,91,1024,6
1,95,1024,15
1,91,1024,6
1,71,1024,12
1,33,1024,12
1,21,1024,12
1,22,1024,12
1,12,1024,12
1,5,1024,10
1,14,1024,6
1,16,1024,11
1,93,1024,15
1,34,1024,14
1,72,1024,8
1,4,1024,11
1,91,1024,6
1,10,1024,8
1,25,1024,8
1,23,1024,10
1,66,1024,13
1,2,1024,9
1,54,1024,11
1,9,1024,13
1,97,1024,16
1,31,1024,10
1,11,1024,10
1,43,1024,12
1,65,1024,14
1,50,1024,12
1,36,1024,9
1,72,1024,8
1,78,1024,14
1,15,1024,14
1,89,1024,11
1,77,1024,5
1,71,1024,12
1,32,1024,8
1,39,1024,8
1,58,1024,16
1,96,1024,12
1,66,1024,13
1,70,1024,15
1,97,1024,16
1,22,1024,12
1,44,1024,12
1,18,1024,3
1,66,1024,13
1,30,1024,13
1,53,1024,11
1,78,1024,14
1,98,1024,15
1,43,1024,12
1,70,1024,15
1,58,1024,16
1,65,1024,14
1,82,1024,18
1,67,1024,10
1,60,1024,11
1,36,1024,9
1,73,1024,13
1,57,1024,9
1,99,1024,11
1,63,1024,11
1,95,1024,15
1,40,1024,11
1,6,1024,8
1,99,1024,11
1,30,1024,13
1,78,1024,14
1,74,1024,12
1,44,1024,12
1,3,1024,11
1,100,1024,13
1,89,1024,11
1,38,1024,12
1,83,1024,5
1,54,1024,11
1,100,1024,13
1,15,1024,14
1,80,1024,9
1,43,1024,12
1,53,1024,11
1,69,1024,7
1,5,1024,10
1,63,1024,11
1,31,1024,10
1,96,1024,12
1,82,1024,18
1,60,1024,11
1,2,1024,9
1,69,1024,7
1,70,1024,15
1,49,1024,8
1,49,1024,8
1,88,1024,12
1,38,1024,12
1,34,1024,14
1,77,1024,5
1,15,1024,14
1,13,1024,9
1,61,1024,14
1,59,1024,9
1,97,1024,16
1,6,1024,8
1,31,1024,10
1,48,1024,10
1,3,1024,11
1,98,1024,15
1,74,1024,12
1,61,1024,14
1,12,1024,12
1,17,1024,12
1,20,1024,5
1,31,1024,10
1,23,1024,10
1,90,1024,7
1,2,1024,9
1,35,1024,7
1,84,1024,7
1,34,1024,14
1,10,1024,8
1,91,1024,6
1,3,1024,11
1,54,1024,11
1,52,1024,6
1,9,1024,13
1,44,1024,12
1,36,1024,9
1,73,1024,13
1,90,1024,7
1,61,1024,14
1,39,1024,8
1,37,1024,9
1,51,1024,5
1,26,1024,5
1,76,1024,11
1,71,1024,12
1,2,1024,9
1,12,1024,12
1,89,1024,11
1,64,1024,11
1,60,1024,11
1,71,1024,12
1,81,1024,9
1,19,1024,11
1,50,1024,12
1,17,1024,12
1,24,1024,7
1,19,1024,11
1,44,1024,12
1,94,1024,12
1,15,1024,14
1,27,1024,9
1,73,1024,13
1,28,1024,9
1,59,1024,9
1,13,1024,9
1,21,1024,12
1,41,1024,10
1,3,1024,11
1,34,1024,14
1,74,1024,12
1,62,1024,10
1,34,1024,14
1,16,1024,11
1,48,1024,10
1,87,1024,5
1,97,1024,16
1,58,1024,16
1,93,1024,15
1,70,1024,15
1,56,1024,10
1,29,1024,15
1,1,1024,8
1,16,1024,11
1,22,1024,12
1,21,1024,12
1,42,1024,10
1,52,1024,6
1,56,1024,10
1,96,1024,12
1,85,1024,12
1,10,1024,8
1,65,1024,14
1,97,1024,16
1,71,1024,12
1,14,1024,6
1,39,1024,8
1,90,1024,7
1,8,1024,9
1,9,1024,13
1,73,1024,13
1,95,1024,15
1,23,1024,10
1,47,1024,9
1,50,1024,12
1,41,1024,10
1,49,1024,8
1,74,1024,12
1,61,1024,14
1,88,1024,12
1,60,1024,11
1,11,1024,10
1,51,1024,5
1,2,1024,9
1,65,1024,14
1,66,1024,13
1,2,1024,9
1,38,1024,12
1,80,1024,9
1,82,1024,18
1,30,1024,13
1,74,1024,12
1,29,1024,15
1,64,1024,11
1,99,1024,11
1,34,1024,14
1,12,1024,12
1,47,1024,9
1,88,1024,12
1,26,1024,5
1,40,1024,11
1,14,1024,6
1,40,1024,11
1,62,1024,10
1,86,1024,8
1,22,1024,12
1,53,1024,11
1,41,1024,10
1,97,1024,16
1,78,1024,14
1,58,1024,16
1,20,1024,5
1,95,1024,15
1,25,1024,8
1,27,1024,9
1,7,1024,8
1,69,1024,7
1,61,1024,14
1,11,1024,10
1,30,1024,13
1,17,1024,12
1,10,1024,8
1,47,1024,9
1,3,1024,11
1,82,1024,18
1,19,1024,11
1,85,1024,12
1,64,1024,11
1,56,1024,10
1,23,1024,10
1,64,1024,11
1,82,1024,18
1,54,1024,11
1,7,1024,8
1,47,1024,9
1,83,1024,5
1,14,1024,6
1,17,1024,12
1,17,1024,12
1,71,1024,12
1,65,1024,14
1,97,1024,16
1,73,1024,13
1,64,1024,11
1,76,1024,11
1,45,1024,11
1,32,1024,8
1,97,1024,16
1,34,1024,14
1,43,1024,12
1,85,1024,12
1,83,1024,5
1,55,1024,11
1,94,1024,12
1,54,1024,11
1,91,1024,6
1,78,1024,14
1,50,1024,12
1,29,1024,15
1,23,1024,10
1,48,1024,10
1,97,1024,16
1,69,1024,7
1,63,1024,11
1,87,1024,5
1,82,1024,18
1,67,1024,10
1,13,1024,9
1,1,1024,8
1,70,1024,15
1,21,1024,12
1,3,1024,11
1,15,1024,14
1,19,1024,11
1,46,1024,9
1,89,1024,11
1,90,1024,7
1,9,1024,13
1,70,1024,15
1,41,1024,10
1,82,1024,18
1,4,1024,11
1,4,1024,11
1,68,1024,6
1,92,1024,10
1,94,1024,12
1,7,1024,8
1,15,1024,14
1,9,1024,13
1,98,1024,15
1,27,1024,9
1,29,1024,15
1,40,1024,11
1,40,1024,11
1,76,1024,11
1,100,1024,13
1,17,1024,12
1,95,1024,15
1,74,1024,12
1,67,1024,10
1,13,1024,9
1,82,1024,18
1,21,1024,12
1,100,1024,13
1,39,1024,8
1,66,1024,13
1,15,1024,14
1,49,1024,8
1,50,1024,12
1,85,1024,12
1,39,1024,8
1,25,1024,8
1,57,1024,9
1,15,1024,14
1,88,1024,12
1,31,1024,10
1,43,1024,12
1,7,1024,8
1,22,1024,12
1,74,1024,12
1,92,1024,10
1,92,1024,10
1,22,1024,12
1,100,1024,13
1,45,1024,11
1,58,1024,16
1,97,1024,16
1,76,1024,11
1,28,1024,9
1,93,1024,15
1,93,1024,15
1,64,1024,11
1,45,1024,11
1,35,1024,7
1,65,1024,14
1,4,1024,11
1,16,1024,11
1,90,1024,7
1,53,1024,11
1,100,1024,13
1,21,1024,12
1,46,1024,9
1,24,1024,7
1,48,1024,10
1,80,1024,9
1,1,1024,8
1,30,1024,13
1,79,1024,11
1,60,1024,11
1,58,1024,16
1,82,1024,18
1,75,1024,9
1,65,1024,14
1,94,1024,12
1,89,1024,11
1,9,1024,13
1,48,1024,10
1,73,1024,13
1,87,1024,5
1,78,1024,14
1,19,1024,11
1,17,1024,12
1,4,1024,11
1,32,1024,8
1,83,1024,5
1,80,1024,9
1,39,1024,8
1,63,1024,11
1,34,1024,14
1,6,1024,8
1,76,1024,11
1,74,1024,12
1,8,1024,9
1,82,1024,18
1,84,1024,7
1,93,1024,15
1,62,1024,10
1,8,1024,9
1,35,1024,7
1,2,1024,9
1,81,1024,9
1,53,1024,11
1,38,1024,12
1,79,1024,11
1,92,1024,10
1,47,1024,9
1,94,1024,12
1,45,1024,11
1,94,1024,12
1,3,1024,11
1,97,1024,16
1,64,1024,11
1,44,1024,12
1,75,1024,9
1,31,1024,10
1,58,1024,16
1,96,1024,12
1,50,1024,12
1,69,1024,7
1,14,1024,6
1,5,1024,10
1,45,1024,11
1,68,1024,6
1,73,1024,13
1,25,1024,8
1,85,1024,12
1,75,1024,9
1,22,1024,12
1,10,1024,8
1,53,1024,11
1,62,1024,10
1,40,1024,11
1,38,1024,12
1,76,1024,11
1,93,1024,15
1,78,1024,14
1,76,1024,11
1,45,1024,11
1,6,1024,8
1,27,1024,9
1,1,1024,8
1,100,1024,13
1,82,1024,18
1,88,1024,12
1,89,1024,11
1,70,1024,15
1,48,1024,10
1,89,1024,11
1,11,1024,10
1,98,1024,15
1,18,1024,3
1,17,1024,12
1,84,1024,7
1,57,1024,9
1,33,1024,12
1,56,1024,10
1,29,1024,15
1,43,1024,12
1,43,1024,12
1,64,1024,11
1,78,1024,14
1,21,1024,12
1,49,1024,8
1,86,1024,8
1,93,1024,15
1,84,1024,7
1,88,1024,12
1,92,1024,10
1,38,1024,12
1,86,1024,8
1,100,1024,13
1,67,1024,10
1,58,1024,16
1,80,1024,9
1,29,1024,15
1,88,1024,12
1,47,1024,9
1,77,1024,5
1,95,1024,15
1,72,1024,8
1,44,1024,12
1,57,1024,9
1,73,1024,13
1,80,1024,9
1,13,1024,9
1,23,1024,10
1,79,1024,11
1,61,1024,14
1,78,1024,14
1,88,1024,12
1,31,1024,10
1,8,1024,9
1,91,1024,6
1,27,1024,9
1,95,1024,15
1,59,1024,9
1,99,1024,11
1,66,1024,13
1,67,1024,10
1,67,1024,10
1,30,1024,13
1,74,1024,12
1,33,1024,12
1,79,1024,11
1,86,1024,8
1,80,1024,9
1,94,1024,12
1,47,1024,9
1,38,1024,12
1,70,1024,15
1,5,1024,10
1,70,1024,15
1,15,1024,14
1,38,1024,12
1,96,1024,12
1,79,1024,11
1,96,1024,12
1,59,1024,9
1,41,1024,10
1,27,1024,9
1,28,1024,9
1,1,1024,8
1,66,1024,13
1,63,1024,11
1,28,1024,9
1,58,1024,16
1,16,1024,11
1,33,1024,12
1,53,1024,11
1,94,1024,12
1,85,1024,12
1,6,1024,8
1,13,1024,9
1,29,1024,15
1,43,1024,12
1,92,1024,10
1,58,1024,16
1,100,1024,13
1,61,1024,14
1,94,1024,12
1,95,1024,15
1,12,1024,12
1,72,1024,8
1,55,1024,11
1,27,1024,9
1,33,1024,12
1,42,1024,10
1,76,1024,11
1,81,1024,9
1,100,1024,13
1,76,1024,11
1,90,1024,7
1,73,1024,13
1,68,1024,6
1,75,1024,9
1,26,1024,5
1,98,1024,15
1,49,1024,8
1,89,1024,11
1,18,1024,3
1,66,1024,13
1,17,1024,12
1,98,1024,15
1,75,1024,9
1,65,1024,14
1,71,1024,12
1,28,1024,9
1,62,1024,10
1,8,1024,9
1,12,1024,12
1,40,1024,11
1,98,1024,15
1,61,1024,14
1,15,1024,14
1,81,1024,9
1,86,1024,8
1,34,1024,14
1,66,1024,13
1,19,1024,11
1,98,1024,15
1,95,1024,15
1,82,1024,18
1,21,1024,12
1,81,1024,9
1,78,1024,14
1,67,1024,10
1,100,1024,13
1,11,1024,10
1,12,1024,12
1,66,1024,13
1,38,1024,12
1,93,1024,15
1,26,1024,5
1,67,1024,10
1,63,1024,11
1,60,1024,11
1,4,1024,11
1,34,1024,14
1,10,1024,8
1,86,1024,8
1,41,1024,10
1,5,1024,10
1,33,1024,12
1,36,1024,9
1,70,1024,15
1,6,1024,8
1,71,1024,12
1,64,1024,11
1,15,1024,14
1,55,1024,11
1,66,1024,13
1,44,1024,12
1,88,1024,12
1,65,1024,14
1,58,1024,16
1,22,1024,12
1,22,1024,12
1,56,1024,10
1,96,1024,12
1,5,1024,10
1,63,1024,11
1,3,1024,11
1,99,1024,11
1,40,1024,11
1,16,1024,11
1,2,1024,9
1,7,1024,8
1,50,1024,12
1,30,1024,13
1,45,1024,11
1,33,1024,12
1,99,1024,11
1,59,1024,9
1,73,1024,13
1,17,1024,12
1,70,1024,15
1,48,1024,10
1,51,1024,5
1,24,1024,7
1,63,1024,11
1,56,1024,10
1,94,1024,12
1,55,1024,11
1,97,1024,16
1,46,1024,9
1,89,1024,11
1,23,1024,10
1,9,1024,13
1,54,1024,11
1,46,1024,9
1,79,1024,11
1,66,1024,13
1,48,1024,10
1,29,1024,15
1,43,1024,12
1,82,1024,18
1,71,1024,12
1,52,1024,6
1,62,1024,10
1,96,1024,12
1,7,1024,8
1,48,1024,10
1,75,1024,9
1,9,1024,13
1,3,1024,11
1,57,1024,9
1,30,1024,13
1,32,1024,8
1,32,1024,8
1,79,1024,11
1,1,1024,8
1,16,1024,11
1,99,1024,11
1,53,1024,11
1,36,1024,9
1,70,1024,15
1,22,1024,12
1,74,1024,12
1,31,1024,10
1,61,1024,14
1,62,1024,10
1,69,1024,7
1,65,1024,14
1,39,1024,8
1,84,1024,7
1,61,1024,14
1,5,1024,10
1,49,1024,8
1,11,1024,10
1,34,1024,14
1,67,1024,10
1,30,1024,13
1,79,1024,11
1,72,1024,8
1,87,1024,5
1,4,1024,11
1,29,1024,15
1,42,1024,10
1,62,1024,10
1,43,1024,12
1,51,1024,5
1,21,1024,12
1,86,1024,8
1,28,1024,9
1,23,1024,10
1,68,1024,6
1,59,1024,9
1,85,1024,12
1,49,1024,8
1,50,1024,12
1,4,1024,11
1,66,1024,13
1,97,1024,16
1,85,1024,12
1,33,1024,12
1,65,1024,14
1,36,1024,9
1,94,1024,12
1,37,1024,9
1,46,1024,9
1,52,1024,6
1,57,1024,9
1,64,1024,11
1,37,1024,9
1,16,1024,11
1,53,1024,11
1,61,1024,14
1,87,1024,5
1,59,1024,9
1,93,1024,15
1,60,1024,11
1,32,1024,8
1,80,1024,9
1,42,1024,10
1,46,1024,9
1,2,1024,9
1,12,1024,12
1,62,1024,10
1,95,1024,15
1,47,1024,9
1,95,1024,15
1,99,1024,11
1,8,1024,9
1,83,1024,5
1,41,1024,10
1,69,1024,7
1,17,1024,12
1,65,1024,14
1,75,1024,9
1,19,1024,11
1,56,1024,10
1,11,1024,10
1,30,1024,13
1,96,1024,12
1,98,1024,15
1,97,1024,16
1,73,1024,13
1,54,1024,11
1,37,1024,9
1,81,1024,9
1,92,1024,10
1,64,1024,11
1,57,1024,9
1,8,1024,9
1,52,1024,6
1,43,1024,12
1,12,1024,12
1,50,1024,12
1,15,1024,14
1,53,1024,11
1,44,1024,12
1,81,1024,9
1,4,1024,11
1,28,1024,9
1,76,1024,11
1,86,1024,8
1,72,1024,8
1,36,1024,9
1,29,1024,15
1,71,1024,12
1,79,1024,11
1,42,1024,10
1,98,1024,15
1,73,1024,13
1,25,1024,8
1,74,1024,12
1,46,1024,9
1,37,1024,9
1,10,1024,8
1,42,1024,10
1,85,1024,12
1,19,1024,11
1,45,1024,11
1,77,1024,5
1,79,1024,11
1,82,1024,18
1,24,1024,7
1,61,1024,14
1,34,1024,14
1,15,1024,14
1,44,1024,12
1,72,1024,8
1,9,1024,13
1,85,1024,12
1,75,1024,9
1,47,1024,9
1,12,1024,12
1,60,1024,11
1,55,1024,11
1,5,1024,10
1,48,1024,10
1,71,1024,12
1,40,1024,11
1,84,1024,7
1,23,1024,10
1,96,1024,12
1,89,1024,11
1,33,1024,12
1,55,1024,11
1,98,1024,15
1,54,1024,11
1,60,1024,11
1,88,1024,12
1,77,1024,5
1,31,1024,10
1,3,1024,11
1,76,1024,11
1,6,1024,8
1,61,1024,14
1,53,1024,11
1,78,1024,14
1,30,1024,13
1,10,1024,8
1,9,1024,13
1,24,1024,7
1,63,1024,11
1,99,1024,11
1,98,1024,15
1,35,1024,7
1,5,1024,10
1,41,1024,10
1,58,1024,16
1,21,1024,12
1,55,1024,11
1,82,1024,18
1,13,1024,9
1,37,1024,9
1,27,1024,9
1,31,1024,10
1,57,1024,9
1,99,1024,11
1,78,1024,14
1,11,1024,10
1,88,1024,12
1,92,1024,10
1,55,1024,11
1,20,1024,5
1,100,1024,13
1,55,1024,11
1,92,1024,10
1,50,1024,12
1,95,1024,15
1,93,1024,15
1,58,1024,16
1,16,1024,11
1,59,1024,9
1,43,1024,12
1,58,1024,16
1,29,1024,15
1,42,1024,10
1,38,1024,12
1,50,1024,12
1,58,1024,16
1,19,1024,11
1,36,1024,9
1,63,1024,11
1,1,1024,8
1,70,1024,15
1,52,1024,6
1,5,1024,10
1,25,1024,8
1,12,1024,12
1,32,1024,8
1,4,1024,11
1,35,1024,7
1,70,1024,15
1,36,1024,9
1,39,1024,8
1,93,1024,15
1,93,1024,15
1,96,1024,12
1,93,1024,15
1,65,1024,14
1,85,1024,12
1,40,1024,11
1,74,1024,12
1,35,1024,7
1,25,1024,8
1,22,1024,12
1,16,1024,11
1,99,1024,11
1,95,1024,15
1,13,1024,9
1,67,1024,10
1,54,1024,11
1,63,1024,11
1,60,1024,11
1,94,1024,12
1,81,1024,9
1,38,1024,12
1,22,1024,12
1,21,1024,12
1,90,1024,7
1,79,1024,11
1,11,1024,10
1,85,1024,12
1,9,1024,13
1,98,1024,15
1,35,1024,7
1,84,1024,7
1,9,1024,13
1,1,1024,8
1,3,1024,11
1,42,1024,10
1,17,1024,12
1,89,1024,11
1,21,1024,12
1,46,1024,9
1,45,1024,11
1,95,1024,15
1,56,1024,10
1,29,1024,15
1,68,1024,6
1,95,1024,15
1,12,1024,12
1,14,1024,6
1,19,1024,11
1,4,1024,11
1,56,1024,10
1,93,1024,15
1,98,1024,15
2,16,512,10
2,13,512,5
2,90,512,5
2,31,512,4
2,16,512,10
2,38,512,14
2,50,512,8
2,72,512,9
2,44,512,7
2,96,512,4
2,84,512,6
2,16,512,10
2,27,512,5
2,84,512,6
2,24,512,4
2,51,512,9
2,76,512,7
2,99,512,3
2,27,512,5
2,71,512,5
2,8,512,9
2,41,512,3
2,29,512,3
2,34,512,7
