dport,ts,total count,count
1,60,1024,11
1,73,1024,13
1,70,1024,15
1,82,1024,18
1,34,1024,14
1,7,1024,8
1,37,1024,9
1,30,1024,13
1,23,1024,10
1,44,1024,12
1,72,1024,8
1,20,1024,5
1,78,1024,14
1,75,1024,9
1,58,1024,16
1,6,1024,8
1,38,1024,12
1,24,1024,7
1,51,1024,5
1,61,1024,14
1,59,1024,9
1,55,1024,11
1,15,1024,14
1,32,1024,8
1,45,1024,11
1,29,1024,15
1,93,1024,15
1,54,1024,11
1,11,1024,10
1,71,1024,12
1,25,1024,8
1,26,1024,5
1,92,1024,10
1,41,1024,10
1,27,1024,9
1,62,1024,10
1,8,1024,9
1,28,1024,9
1,19,1024,11
1,42,1024,10
1,98,1024,15
1,65,1024,14
1,33,1024,12
1,81,1024,9
1,16,1024,11
1,46,1024,9
1,50,1024,12
1,40,1024,11
1,100,1024,13
1,57,1024,9
1,13,1024,9
1,9,1024,13
1,68,1024,6
1,97,1024,16
1,80,1024,9
1,88,1024,12
1,96,1024,12
1,56,1024,10
1,91,1024,6
1,95,1024,15
1,21,1024,12
1,22,1024,12
1,12,1024,12
1,5,1024,10
1,14,1024,6
1,4,1024,11
1,10,1024,8
1,66,1024,13
1,2,1024,9
1,31,1024,10
1,43,1024,12
1,36,1024,9
1,89,1024,11
1,77,1024,5
1,39,1024,8
1,18,1024,3
1,53,1024,11
1,67,1024,10
1,99,1024,11
1,63,1024,11
1,74,1024,12
1,3,1024,11
1,83,1024,5
1,69,1024,7
1,49,1024,8
1,48,1024,10
1,17,1024,12
1,90,1024,7
1,35,1024,7
1,84,1024,7
1,52,1024,6
1,76,1024,11
1,64,1024,11
1,94,1024,12
1,87,1024,5
1,1,1024,8
1,85,1024,12
1,47,1024,9
1,86,1024,8
1,79,1024,11
2,16,512,10
2,13,512,5
2,90,512,5
2,31,512,4
2,38,512,14
2,50,512,8
2,72,512,9
2,44,512,7
2,96,512,4
2,84,512,6
2,27,512,5
2,24,512,4
2,51,512,9
2,76,512,7
2,99,512,3
2,71,512,5
2,8,512,9
2,41,512,3
2,29,512,3
2,34,512,7
2,95,512,5
2,81,512,4
2,12,512,9
2,66,512,11
2,37,512,4
2,67,512,6
2,73,512,5
2,25,512,9
2,79,512,8
2,23,512,10
2,87,512,2
2,65,512,11
2,15,512,5
2,74,512,6
2,70,512,4
2,18,512,6
2,17,512,7
2,61,512,11
2,77,512,7
2,42,512,6
2,26,512,3
2,98,512,6
2,40,512,2
2,7,512,7
2,91,512,5
2,1,512,8
2,68,512,5
2,49,512,7
2,56,512,5
2,32,512,6
2,58,512,3
2,9,512,1
2,14,512,4
2,88,512,3
2,52,512,3
2,5,512,2
2,54,512,2
2,55,512,4
2,22,512,10
2,62,512,4
2,20,512,4
2,92,512,7
2,33,512,4
2,94,512,5
2,85,512,5
2,47,512,5
2,80,512,8
2,64,512,7
2,93,512,3
2,75,512,7
2,59,512,7
2,63,512,4
2,30,512,4
2,45,512,4
2,2,512,3
2,21,512,5
2,28,512,3
2,97,512,4
2,60,512,1
2,86,512,4
2,89,512,6
2,78,512,1
2,48,512,4
2,3,512,2
2,83,512,6
2,46,512,5
2,43,512,6
2,36,512,5
2,39,512,4
2,35,512,4
2,11,512,3
2,53,512,3
2,57,512,3
2,19,512,2
2,100,512,4
2,10,512,4
2,82,512,1
2,4,512,2
3,12,256,3
3,91,256,10
3,76,256,2
3,60,256,4
3,97,256,3
3,70,256,6
3,34,256,5
3,46,256,5
3,20,256,3
3,88,256,1
3,48,256,1
3,42,256,3
3,9,256,3
3,5,256,4
3,75,256,3
3,56,256,4
3,82,256,3
3,47,256,2
3,38,256,2
3,10,256,1
3,36,256,5
3,1,256,1
3,26,256,4
3,7,256,6
3,79,256,2
3,59,256,4
3,24,256,4
3,67,256,4
3,83,256,7
3,19,256,7
3,64,256,4
3,68,256,1
3,69,256,2
3,43,256,4
3,33,256,3
3,54,256,5
3,58,256,2
3,84,256,2
3,90,256,3
3,37,256,5
3,81,256,4
3,13,256,4
3,89,256,5
3,50,256,6
3,95,256,3
3,73,256,3
3,94,256,4
3,100,256,2
3,55,256,2
3,71,256,3
3,53,256,2
3,45,256,2
3,51,256,2
3,85,256,1
3,2,256,2
3,52,256,3
3,29,256,2
3,96,256,1
3,61,256,2
3,4,256,1
3,87,256,4
3,30,256,3
3,57,256,4
3,49,256,2
3,16,256,1
3,44,256,2
3,32,256,5
3,22,256,1
3,62,256,3
3,31,256,1
3,23,256,2
3,40,256,2
3,98,256,2
3,66,256,2
3,14,256,2
3,99,256,1
3,21,256,2
3,65,256,1
3,77,256,2
3,8,256,2
3,39,256,1
3,80,256,1
3,35,256,2
3,74,256,3
3,6,256,1
3,86,256,1
3,3,256,2
3,18,256,1
3,63,256,1
3,92,256,1
3,25,256,1
4,49,128,2
4,94,128,5
4,4,128,5
4,11,128,5
4,61,128,3
4,40,128,3
4,75,128,2
4,73,128,2
4,12,128,3
4,67,128,1
4,91,128,3
4,79,128,6
4,88,128,1
4,27,128,1
4,96,128,1
4,38,128,1
4,71,128,3
4,53,128,2
4,21,128,1
4,77,128,1
4,19,128,1
4,52,128,1
4,3,128,2
4,6,128,3
4,18,128,1
4,33,128,3
4,24,128,1
4,83,128,1
4,62,128,2
4,55,128,2
4,29,128,1
4,15,128,2
4,22,128,2
4,93,128,1
4,10,128,2
4,43,128,1
4,59,128,2
4,100,128,4
4,37,128,1
4,85,128,1
4,78,128,1
4,41,128,3
4,58,128,4
4,48,128,1
4,80,128,1
4,60,128,4
4,35,128,1
4,50,128,1
4,51,128,1
4,7,128,1
4,34,128,2
4,47,128,1
4,72,128,1
4,13,128,1
4,28,128,1
4,36,128,1
4,42,128,1
4,54,128,1
4,70,128,2
4,1,128,1
4,90,128,1
4,89,128,1
4,87,128,1
4,39,128,1
4,63,128,2
4,81,128,1
4,95,128,1
4,46,128,2
4,8,128,1
4,76,128,1
4,82,128,1
5,89,64,1
5,72,64,1
5,22,64,2
5,82,64,2
5,19,64,2
5,24,64,1
5,54,64,4
5,93,64,1
5,51,64,2
5,40,64,1
5,100,64,2
5,65,64,1
5,88,64,1
5,3,64,1
5,2,64,3
5,9,64,2
5,75,64,1
5,61,64,1
5,27,64,1
5,56,64,1
5,96,64,1
5,7,64,1
5,60,64,1
5,83,64,2
5,92,64,2
5,70,64,1
5,12,64,1
5,90,64,1
5,17,64,1
5,37,64,1
5,67,64,1
5,26,64,2
5,38,64,1
5,10,64,1
5,31,64,1
5,87,64,1
5,14,64,1
5,21,64,1
5,32,64,1
5,6,64,1
5,59,64,1
5,68,64,1
5,46,64,1
5,85,64,1
5,25,64,1
5,63,64,1
5,36,64,1
5,84,64,1
5,99,64,1
5,33,64,1
6,97,32,1
6,29,32,1
6,19,32,1
6,56,32,2
6,86,32,1
6,65,32,1
6,87,32,3
6,88,32,1
6,45,32,2
6,20,32,2
6,76,32,1
6,13,32,1
6,5,32,1
6,25,32,2
6,62,32,1
6,17,32,1
6,81,32,1
6,72,32,1
6,34,32,1
6,61,32,1
6,98,32,1
6,32,32,1
6,35,32,1
6,3,32,1
6,4,32,1
6,51,32,1
7,64,16,1
7,15,16,2
7,7,16,1
7,3,16,2
7,2,16,1
7,81,16,1
7,48,16,1
7,29,16,1
7,85,16,1
7,8,16,1
7,51,16,2
7,31,16,1
7,5,16,1
8,35,8,1
8,32,8,1
8,41,8,1
8,31,8,1
8,5,8,1
8,85,8,1
8,19,8,1
8,23,8,1
9,23,4,1
9,72,4,1
9,53,4,1
9,55,4,1
10,17,2,1
10,81,2,1
